workload,transport,sample_id,condition,elapsed_seconds_ratio,input_tokens_ratio,output_tokens_ratio,packets_total_ratio,bytes_total_ratio,bytes_client_to_server_ratio,bytes_server_to_client_ratio
summary,tls13,conv-44::event_summary::Audrey,longllmlingua_4x,0.7464883711470277,0.21681557383944947,1.2066957787481805,1.1965933286018453,0.824894375419936,0.4315010061108484,1.2047427397223478
summary,tls13,conv-49::event_summary::Evan,longllmlingua_2x,0.8213833676083585,0.4033651659845384,1.0256064690026954,1.0138248847926268,0.8485655290996867,0.6022487786186417,1.0191009140085805
summary,tls13,conv-49::event_summary::Evan,longllmlingua_4x,0.6023362750309347,0.2154722734932991,0.7911051212938005,0.7899934167215273,0.6343489219117787,0.40305584826132773,0.794482787208025
summary,http3,conv-26::event_summary::Caroline,longllmlingua_2x,0.9534693853491922,0.40066125638713557,1.1963470319634704,1.1365853658536584,0.9560170103246074,0.6598443266040251,1.1848766881691573
summary,http3,conv-26::event_summary::Caroline,longllmlingua_4x,1.0674741001285308,0.2357980162308386,1.4292237442922375,1.3344947735191637,1.0547428580697662,0.6016869786336714,1.4048299130634818
summary,http3,conv-26::event_summary::Melanie,longllmlingua_2x,0.9315055279118291,0.38425007514277126,1.210431654676259,1.148936170212766,0.9436142829465112,0.6212449071095776,1.2332554880896778
summary,http3,conv-26::event_summary::Melanie,longllmlingua_4x,0.9643607546101343,0.22816351067027352,1.3381294964028776,1.2471358428805237,0.9671096130958787,0.5237083390191759,1.3654950957496497
summary,http3,conv-30::event_summary::Gina,longllmlingua_2x,1.1272262965852853,0.4058603736479843,1.5819397993311037,1.436231884057971,1.0783311361749914,0.6703130751588028,1.5156027149229727
summary,http3,conv-30::event_summary::Gina,longllmlingua_4x,0.6363849746231006,0.23012782694198625,0.9063545150501672,0.827536231884058,0.6254723890435038,0.37812532444855546,0.8905534032631675
summary,http3,conv-30::event_summary::Jon,longllmlingua_2x,0.9200692245418951,0.40086529006882987,1.077574047954866,1.043824701195219,0.9184437503302914,0.6741517627143593,1.0668467010341545
summary,http3,conv-30::event_summary::Jon,longllmlingua_4x,1.1597310976477615,0.2312291052114061,1.4442877291960508,1.3798140770252325,1.1510912828101054,0.6977110473246486,1.4265115509632882
summary,http3,conv-42::event_summary::Nate,longllmlingua_2x,0.8599169163399185,0.4056827576291291,1.1623155505107832,1.096774193548387,0.8881286458769443,0.5625860369281597,1.1533610709117221
summary,http3,conv-42::event_summary::Nate,longllmlingua_4x,0.3153426521166418,0.21534092951367673,0.40749148694665155,0.3938605619146722,0.3403090946063948,0.24055259021110686,0.42158465991316935
summary,http3,conv-43::event_summary::John,longllmlingua_2x,0.7732439414933773,0.4624205826235764,0.9521484375,0.9192238267148014,0.8091209769749396,0.623332885375816,0.9514968807831903
summary,http3,conv-43::event_summary::John,longllmlingua_4x,0.73116949682489,0.20736049096166329,1.0,0.9467509025270758,0.7679401829001117,0.46885269935127605,0.9971413680863083
summary,http3,conv-44::event_summary::Audrey,longllmlingua_2x,0.9668423877912817,0.3639728770211835,1.490538573508006,1.3691014867485456,1.0223176658357693,0.5958014533766551,1.4721398305084745
summary,http3,conv-44::event_summary::Audrey,longllmlingua_4x,0.7461517753713623,0.21681557383944947,1.2066957787481805,1.0976082740788624,0.7920305578968133,0.4354583726373895,1.1680867722918202
summary,http3,conv-49::event_summary::Evan,longllmlingua_2x,0.8221218898586814,0.4033651659845384,1.0256064690026954,0.9808049535603716,0.8444798469059409,0.6092739482164184,1.0227007875696328
summary,http3,conv-49::event_summary::Evan,longllmlingua_4x,0.602531063928893,0.2154722734932991,0.7911051212938005,0.7455108359133127,0.6113805421919358,0.40400432656556323,0.7685142893731458
